Relative Path,Original Size,Scale,Has Alpha,File Type,ICC Profile,Lossless Size,Lossless No Alpha Size,lossy_q75_m0_a100,lossy_q75_m0_a80,lossy_q75_m0_no_alpha,lossy_q75_m4_a100,lossy_q75_m4_a80,lossy_q75_m4_no_alpha,lossy_q75_m6_a100,lossy_q75_m6_a80,lossy_q75_m6_no_alpha,lossy_q50_m0_a100,lossy_q50_m0_a80,lossy_q50_m0_no_alpha,lossy_q50_m4_a100,lossy_q50_m4_a80,lossy_q50_m4_no_alpha,lossy_q50_m6_a100,lossy_q50_m6_a80,lossy_q50_m6_no_alpha,lossy_q25_m0_a100,lossy_q25_m0_a80,lossy_q25_m0_no_alpha,lossy_q25_m4_a100,lossy_q25_m4_a80,lossy_q25_m4_no_alpha,lossy_q25_m6_a100,lossy_q25_m6_a80,lossy_q25_m6_no_alpha
images/news/20131102-settings.png,54789,600x351,False,PNG,None,48864,N/A,N/A,N/A,23878,N/A,N/A,19718,N/A,N/A,18746,N/A,N/A,20196,N/A,N/A,15516,N/A,N/A,14916,N/A,N/A,16290,N/A,N/A,11600,N/A,N/A,10904
images/news/20150524-d2k-building-upgrades.png,118555,548x302,False,PNG,None,83754,N/A,N/A,N/A,43830,N/A,N/A,38346,N/A,N/A,36942,N/A,N/A,33980,N/A,N/A,29002,N/A,N/A,27292,N/A,N/A,23946,N/A,N/A,17696,N/A,N/A,15912
images/news/20180729-profiles.png,53700,1200x600,True,PNG,None,33174,33174,77266,77266,77266,64894,64894,64894,61080,61080,61080,62074,62074,62074,48034,48034,48034,45334,45334,45334,46948,46948,46948,32850,32850,32850,30488,30488,30488
images/news/20180729-shatteredparadise.png,172052,600x300,False,PNG,None,126520,N/A,N/A,N/A,58048,N/A,N/A,55388,N/A,N/A,53224,N/A,N/A,43834,N/A,N/A,41458,N/A,N/A,38864,N/A,N/A,30074,N/A,N/A,26798,N/A,N/A,24106
images/news/20241116-vortex.webp,1604378,1578x1132,False,WEBP,Unknown,1601878,N/A,N/A,N/A,152708,N/A,N/A,129740,N/A,N/A,125912,N/A,N/A,110028,N/A,N/A,95180,N/A,N/A,93716,N/A,N/A,77286,N/A,N/A,65176,N/A,N/A,65028
images/news/20150405-ra-random-ingame.png,77630,600x300,False,PNG,None,54286,N/A,N/A,N/A,21582,N/A,N/A,17014,N/A,N/A,15976,N/A,N/A,16684,N/A,N/A,12574,N/A,N/A,11636,N/A,N/A,11956,N/A,N/A,8460,N/A,N/A,7794
images/news/20160821-ragls2-banner.png,211411,640x240,False,PNG,None,173520,N/A,N/A,N/A,33342,N/A,N/A,27878,N/A,N/A,26764,N/A,N/A,28540,N/A,N/A,21928,N/A,N/A,20970,N/A,N/A,21588,N/A,N/A,15602,N/A,N/A,14748
images/news/20131211-d2k-shroud.png,63033,600x300,True,PNG,None,57942,57942,24436,24436,24436,21702,21702,21702,19650,19650,19650,15246,15246,15246,12598,12598,12598,10420,10420,10420,7648,7648,7648,5662,5662,5662,4442,4442,4442
images/news/20140608-modchooser.png,62128,600x300,False,PNG,None,68648,N/A,N/A,N/A,27586,N/A,N/A,19092,N/A,N/A,18370,N/A,N/A,23360,N/A,N/A,15000,N/A,N/A,13990,N/A,N/A,15022,N/A,N/A,10010,N/A,N/A,9286
images/news/20170304-hidpi.png,16893,600x300,True,PNG,None,15552,15552,32076,32076,32076,25636,25636,25636,24972,24972,24972,26498,26498,26498,21128,21128,21128,20216,20216,20216,21210,21210,21210,15780,15780,15780,15226,15226,15226
images/news/20161015-d2k-scorescreen.png,70419,600x300,False,PNG,None,39336,N/A,N/A,N/A,27210,N/A,N/A,22866,N/A,N/A,21850,N/A,N/A,21082,N/A,N/A,16926,N/A,N/A,15512,N/A,N/A,15788,N/A,N/A,11476,N/A,N/A,10456
images/news/20140204-players.png,15940,881x313,True,PNG,None,7180,6594,46456,46312,37424,40238,40120,35402,37386,37538,31476,34430,34286,25276,26860,26742,21656,22942,23094,18128,25014,24870,16162,19064,18946,13646,17114,17266,11992
images/news/20141012-tibsun.png,72837,600x300,True,PNG,None,67800,67800,56024,56024,56024,52104,52104,52104,49864,49864,49864,41806,41806,41806,38730,38730,38730,36428,36428,36428,28642,28642,28642,24590,24590,24590,22234,22234,22234
images/news/20150614-cnc-missions.png,25219,599x300,True,PNG,None,22800,22800,27354,27354,27354,22818,22818,22818,22336,22336,22336,23150,23150,23150,19102,19102,19102,18670,18670,18670,18720,18720,18720,14516,14516,14516,14044,14044,14044
images/news/20150118-ra-countries-dropdown.png,22560,600x300,False,PNG,None,10982,N/A,N/A,N/A,20258,N/A,N/A,15354,N/A,N/A,14938,N/A,N/A,16922,N/A,N/A,12684,N/A,N/A,12270,N/A,N/A,13580,N/A,N/A,9662,N/A,N/A,9154
images/news/20160403-d2k-worm-trail.png,57677,600x300,True,PNG,None,50696,50696,50166,50166,50166,49528,49528,49528,47418,47418,47418,35408,35408,35408,35172,35172,35172,32218,32218,32218,20978,20978,20978,18896,18896,18896,15632,15632,15632
images/news/20160904-ra-aiengineer.png,55456,600x300,True,PNG,None,53972,53972,46156,46156,46156,41868,41868,41868,40396,40396,40396,34832,34832,34832,30902,30902,30902,28338,28338,28338,22096,22096,22096,17724,17724,17724,15176,15176,15176
images/news/20170304-gapgen.png,37009,600x300,True,PNG,None,34796,34796,32244,32244,32244,25670,25670,25670,24164,24164,24164,24916,24916,24916,19636,19636,19636,18188,18188,18188,18698,18698,18698,13096,13096,13096,11936,11936,11936
images/news/20170722-d2k-editor.png,99122,600x300,False,PNG,None,60444,N/A,N/A,N/A,43406,N/A,N/A,40112,N/A,N/A,37288,N/A,N/A,31268,N/A,N/A,27248,N/A,N/A,24876,N/A,N/A,19668,N/A,N/A,16054,N/A,N/A,14026
images/news/20131130-healthbars.png,58660,600x300,True,PNG,None,56086,56086,53526,53526,53526,51558,51558,51558,49862,49862,49862,41370,41370,41370,38950,38950,38950,36682,36682,36682,26418,26418,26418,24052,24052,24052,21254,21254,21254
images/news/20190106-editor.png,94870,600x300,False,PNG,None,59852,N/A,N/A,N/A,48538,N/A,N/A,44230,N/A,N/A,42328,N/A,N/A,36890,N/A,N/A,32782,N/A,N/A,30678,N/A,N/A,24940,N/A,N/A,19922,N/A,N/A,17536
images/news/20170421-d2k-new-missions.png,102544,599x300,False,PNG,None,113382,N/A,N/A,N/A,24050,N/A,N/A,21144,N/A,N/A,20020,N/A,N/A,19490,N/A,N/A,15926,N/A,N/A,15470,N/A,N/A,14916,N/A,N/A,11574,N/A,N/A,11092
